 	Nombre     |       Apellido     |      Edad      |   Cédula   |  Dinero disponible 
 	María      |       Rodríguez    |       50       | 6929552    |      $5663.81
 	Sofía      |       Fernández    |       42       | 45699524   |      $583.26
 	Lucía      |       López        |       66       | 75636394   |      $295.17	
 	Jorge      |       Gómez        |       44       | 89403449   |      $6865.69
	Jorge      |       Gómez        |       33       | 41598370   |      $256.91
	Juan       |       López        |       92       | 29689434   |      $4543.48
	Pedro      |       Gómez        |       19       | 50252277   |      $394.3
	Lucía      |       González     |       20       | 98853987   |      $8758.08
	Carlos     |       González     |       77       | 17827150   |      $3756.88
	Carlos     |       Pérez        |       56       | 30454090   |      $7506.49
	Sofía      |       García       |       78       | 21866910   |      $5382.01
	Laura      |       Fernández    |       78       | 68748413   |      $7966.17
	Jorge      |       López        |       95       | 23258391   |      $2581.63
	Jorge      |       López        |       99       | 34232884   |      $9271.24
 	Juan       |       Pérez        |       70       | 97996837   |      $4380.23
 	Laura      |       Fernández    |       23       | 2603067    |      $1670.25
 	Ana        |       Sánchez      |       56       | 29215203   |      $2338.59
 	Jorge      |       González     |       42       | 5717088    |      $6686.38
 	Pedro      |       López        |       76       | 91076859   |      $182.09
 	María      |       Sánchez      |       98       | 57916191   |      $2883.73
 	______________________________________________________________________________
